,Report_No,Reported_Date,Race,Sex,Age
41538,KC20036479,6/3/2020,B,M,25.0
41539,KC20044782,7/6/2020,W,F,18.0
41540,KC20040429,6/19/2020,B,F,22.0
41541,KC20033947,5/24/2020,B,F,28.0
41542,KC20036632,6/4/2020,B,M,
41543,KC20037883,6/9/2020,U,U,
41544,KC20036764,6/5/2020,W,F,30.0
41545,KC20045866,7/10/2020,B,M,47.0
41546,KC20046094,7/11/2020,W,M,20.0
41547,KC20040086,6/17/2020,B,M,48.0
41548,KC20045625,7/9/2020,W,M,38.0
41549,KC20039531,6/15/2020,B,M,38.0
41550,KC20033672,5/23/2020,B,M,29.0
41551,KC20045565,7/9/2020,B,F,37.0
41552,KC20032891,5/20/2020,B,F,
41553,KC20042240,6/26/2020,B,M,73.0
41554,KC20034927,5/28/2020,B,M,
41555,KC20035382,5/30/2020,B,F,34.0
41556,KC20045422,7/9/2020,W,M,
41557,KC20037193,6/6/2020,W,M,50.0
41558,KC20041230,6/22/2020,,,
41559,KC20039124,6/14/2020,,,
41560,KC20034149,5/25/2020,B,M,32.0
41561,KC20040240,6/18/2020,W,M,49.0
41562,KC20040963,6/21/2020,B,M,28.0
41563,KC20035783,6/1/2020,W,F,51.0
41564,KC20041566,6/23/2020,W,F,39.0
41565,KC20037150,6/6/2020,W,F,34.0
41566,KC20045068,7/7/2020,,,
41567,KC20046895,7/14/2020,B,F,
41568,KC20039931,6/17/2020,B,F,34.0
41569,KC20034042,5/25/2020,W,M,20.0
41570,KC20040944,6/21/2020,B,M,22.0
41571,KC20033598,5/23/2020,W,F,21.0
41572,KC20046838,7/14/2020,W,M,
41573,KC20035626,6/1/2020,B,M,28.0
41574,KC20037321,6/7/2020,B,F,26.0
41575,KC20035995,6/2/2020,W,M,59.0
41576,KC20040363,6/18/2020,B,M,22.0
41577,KC20047741,7/18/2020,B,F,20.0
41578,KC20045265,7/8/2020,W,M,21.0
41579,KC20033051,5/21/2020,,U,
41580,KC20034343,5/26/2020,W,M,48.0
41581,KC20045663,7/10/2020,W,M,34.0
41582,KC20035547,5/31/2020,B,M,19.0
41583,KC20044046,7/3/2020,B,M,46.0
41584,KC20035143,5/29/2020,W,F,
41585,KC20045740,7/10/2020,W,F,60.0
41586,KC20042603,6/27/2020,W,M,36.0
41587,KC20041265,6/22/2020,,,
41588,KC20035049,5/29/2020,B,M,27.0
41589,KC20040898,6/20/2020,W,M,35.0
41590,KC20032766,5/20/2020,W,M,44.0
41591,KC20045042,7/7/2020,B,F,33.0
41592,KC20044228,7/4/2020,B,F,29.0
41593,KC20041426,6/22/2020,B,M,19.0
41594,KC20044824,7/6/2020,,,
41595,KC20033710,5/23/2020,B,M,33.0
41596,KC20046280,7/12/2020,W,M,35.0
41597,KC20039107,6/14/2020,B,M,62.0
41598,KC20035142,5/29/2020,B,F,
41599,KC20036825,6/5/2020,U,U,
41600,KC20041883,6/24/2020,W,M,41.0
41601,KC20034175,5/26/2020,W,M,24.0
41602,KC20045307,7/8/2020,B,M,33.0
41603,KC20042306,6/26/2020,U,M,30.0
41604,KC20037603,6/8/2020,W,M,56.0
41605,KC20036198,6/2/2020,W,M,31.0
41606,KC20041552,6/23/2020,B,M,
41607,KC20039705,6/16/2020,W,M,38.0
41608,KC20033021,5/21/2020,W,F,40.0
41609,KC20041676,6/23/2020,W,M,30.0
41610,KC20037663,6/8/2020,W,M,
41611,KC20046056,7/11/2020,W,F,36.0
41612,KC20041539,6/23/2020,,,
41613,KC20035248,5/30/2020,B,M,25.0
41614,KC20034962,5/28/2020,B,F,32.0
41615,KC20035713,6/1/2020,B,F,
41616,KC20032870,5/20/2020,W,M,39.0
41617,KC20045726,7/10/2020,B,M,40.0
41618,KC20038556,6/11/2020,W,M,29.0
41619,KC20043354,6/30/2020,W,M,
41620,KC20045153,7/8/2020,,,
41621,KC20041669,6/23/2020,B,M,
41622,KC20040098,6/17/2020,W,M,57.0
41623,KC20039205,6/14/2020,B,M,27.0
41624,KC20037575,6/8/2020,B,F,56.0
41625,KC20040498,6/19/2020,W,F,66.0
41626,KC20039037,6/14/2020,W,M,35.0
41627,KC20041666,6/23/2020,B,M,
41628,KC20036102,6/3/2020,W,M,29.0
41629,KC20045972,7/11/2020,W,M,24.0
41630,KC20035397,5/30/2020,W,F,34.0
41631,KC20042945,6/29/2020,B,M,62.0
41632,KC20037160,6/6/2020,W,M,62.0
41633,KC20045488,7/9/2020,U,M,26.0
41634,KC20037511,6/8/2020,B,F,28.0
41635,KC20035833,6/1/2020,W,M,31.0
41636,KC20045846,7/10/2020,B,M,45.0
41637,KC20044176,7/4/2020,W,M,28.0
41638,KC20047763,7/18/2020,,,
41639,KC20041645,6/23/2020,B,M,52.0
41640,KC20046023,7/11/2020,,,
41641,KC20038006,6/9/2020,W,F,54.0
41642,KC20047591,7/17/2020,B,F,28.0
41643,KC20036759,6/5/2020,W,M,42.0
41644,KC20043034,6/29/2020,B,F,
41645,KC20037768,6/8/2020,W,M,37.0
41646,KC20035366,5/30/2020,W,M,
41647,KC20041297,6/22/2020,W,M,41.0
41648,KC20036786,6/5/2020,W,M,
41649,KC20047151,7/15/2020,B,M,52.0
41650,KC20045875,7/10/2020,B,M,
41651,KC20045338,7/8/2020,B,F,38.0
41652,KC20043256,6/30/2020,,,
41653,KC20042575,6/27/2020,W,F,48.0
41654,KC20041983,6/25/2020,B,M,48.0
41655,KC20043908,7/3/2020,W,M,25.0
41656,KC20041450,6/23/2020,W,M,70.0
41657,KC20039669,6/16/2020,,,
41658,KC20038569,6/12/2020,,,
41659,KC20039901,6/17/2020,B,M,30.0
41660,KC20046272,7/12/2020,U,M,30.0
41661,KC20042269,6/26/2020,B,M,31.0
41662,KC20036940,6/5/2020,W,M,43.0
41663,KC20043766,7/2/2020,B,F,45.0
41664,KC20046064,7/11/2020,,,
41665,KC20033250,5/21/2020,W,F,32.0
41666,KC20040764,6/20/2020,B,M,
41667,KC20047014,7/15/2020,,,
41668,KC20045222,7/8/2020,W,F,21.0
41669,KC20038548,6/11/2020,B,M,50.0
41670,KC20044044,7/3/2020,W,M,60.0
41671,KC20046695,7/14/2020,B,M,
41672,KC20042372,6/26/2020,W,F,29.0
41673,KC20038276,6/10/2020,W,M,
41674,KC20037540,6/8/2020,W,M,66.0
41675,KC20035725,6/1/2020,W,M,49.0
41676,KC20045286,7/8/2020,W,M,38.0
41677,KC20040275,6/18/2020,B,F,55.0
41678,KC20032851,5/20/2020,W,M,41.0
41679,KC20044474,7/5/2020,B,M,30.0
41680,KC20044153,7/4/2020,B,F,
41681,KC20033499,5/22/2020,W,M,30.0
41682,KC20040043,6/17/2020,B,M,47.0
41683,KC20036033,6/2/2020,W,F,22.0
41684,KC20038788,6/12/2020,W,M,59.0
41685,KC20045432,7/9/2020,B,F,22.0
41686,KC20035968,6/2/2020,B,F,55.0
41687,KC20044327,7/5/2020,W,F,70.0
41688,KC20035447,5/31/2020,B,M,
41689,KC20038423,6/11/2020,W,M,21.0
41690,KC20040049,6/17/2020,W,M,41.0
41691,KC20033257,5/21/2020,B,F,
41692,KC20040738,6/20/2020,B,M,
41693,KC20040119,6/17/2020,B,M,34.0
41694,KC20043944,7/3/2020,B,F,27.0
41695,KC20042089,6/25/2020,B,M,37.0
41696,KC20034219,5/26/2020,W,F,34.0
41697,KC20044429,7/5/2020,B,M,
41698,KC20035986,6/2/2020,B,M,23.0
41699,KC20042620,6/27/2020,,,
41700,KC20046149,7/12/2020,B,F,
41701,KC20044674,7/6/2020,B,F,23.0
41702,KC20046791,7/14/2020,,,
41703,KC20045041,7/7/2020,B,M,48.0
41704,KC20046512,7/13/2020,U,U,
41705,KC20041198,6/22/2020,,,
41706,KC20046960,7/15/2020,B,F,25.0
41707,KC20044437,7/5/2020,W,F,20.0
41708,KC20037778,6/9/2020,B,F,18.0
41709,KC20033412,5/22/2020,W,F,43.0
41710,KC20042087,6/25/2020,W,M,24.0
41711,KC20047354,7/16/2020,B,M,25.0
41712,KC20035057,5/29/2020,B,F,24.0
41713,KC20039382,6/15/2020,,U,
41714,KC20040959,6/21/2020,W,M,53.0
41715,KC20038807,6/13/2020,B,F,66.0
41716,KC20046379,7/13/2020,B,M,41.0
41717,KC20036115,6/3/2020,W,M,37.0
41718,KC20038994,6/13/2020,W,F,26.0
41719,KC20033086,5/21/2020,,,
41720,KC20037060,6/6/2020,B,F,36.0
41721,KC20045184,7/8/2020,W,F,56.0
41722,KC20047514,7/17/2020,,,
41723,KC20039308,6/15/2020,B,M,32.0
41724,KC20037412,6/7/2020,W,M,30.0
41725,KC20046809,7/14/2020,W,M,18.0
41726,KC20033694,5/23/2020,,,
41727,KC20042742,6/28/2020,W,M,
41728,KC20044163,7/4/2020,B,M,50.0
41729,KC20040385,6/18/2020,W,F,32.0
41730,KC20034687,5/27/2020,W,F,32.0
41731,KC20035589,5/31/2020,W,F,25.0
41732,KC20041971,6/25/2020,W,M,48.0
41733,KC20046132,7/12/2020,,,
41734,KC20040290,6/18/2020,,,
41735,KC20042471,6/27/2020,W,F,56.0
41736,KC20035424,5/31/2020,,M,25.0
41737,KC20033173,5/21/2020,W,M,27.0
41738,KC20041893,6/24/2020,B,F,23.0
41739,KC20036192,6/2/2020,B,F,58.0
41740,KC20038713,6/12/2020,W,F,29.0
41741,KC20045795,7/10/2020,W,M,19.0
41742,KC20041891,6/24/2020,W,F,73.0
41743,KC20044839,7/7/2020,W,M,23.0
41744,KC20037789,6/9/2020,B,F,28.0
41745,KC20039651,6/16/2020,W,M,58.0
41746,KC20042450,6/27/2020,B,M,27.0
41747,KC20039009,6/13/2020,,,
41748,KC20041340,6/22/2020,B,M,23.0
41749,KC20037259,6/6/2020,B,M,22.0
41750,KC20047224,7/16/2020,B,F,29.0
41751,KC20043142,6/30/2020,W,M,30.0
41752,KC20037244,6/6/2020,,,
41753,KC20047401,7/16/2020,W,F,19.0
41754,KC20035353,5/30/2020,W,F,23.0
41755,KC20037634,6/8/2020,,,
41756,KC20033575,5/23/2020,B,M,29.0
41757,KC20044061,7/3/2020,W,M,53.0
41758,KC20035353,5/30/2020,W,F,27.0
41759,KC20039631,6/16/2020,W,M,38.0
41760,KC20035416,5/31/2020,W,M,24.0
41761,KC20037860,6/9/2020,B,M,27.0
41762,KC20042976,6/29/2020,W,M,61.0
41763,KC20035369,5/30/2020,B,M,
41764,KC20035353,5/30/2020,W,M,37.0
41765,KC20042211,6/26/2020,B,M,25.0
41766,KC20041461,6/23/2020,B,M,
41767,KC20043028,6/29/2020,W,F,24.0
41768,KC20047172,7/15/2020,B,M,
41769,KC20036737,6/4/2020,B,M,
41770,KC20043336,6/30/2020,W,M,39.0
41771,KC20036801,6/5/2020,W,M,27.0
41772,KC20033487,5/22/2020,B,F,80.0
41773,KC20033924,5/24/2020,W,M,32.0
41774,KC20036238,6/3/2020,,,
41775,KC20032825,5/20/2020,B,M,58.0
41776,KC20033003,5/20/2020,W,F,63.0
41777,KC20040901,6/20/2020,I,F,33.0
41778,KC20034065,5/25/2020,,,
41779,KC20040266,6/18/2020,I,F,33.0
41780,KC20036613,6/4/2020,W,F,34.0
41781,KC20033140,5/21/2020,B,M,
41782,KC20032933,5/20/2020,B,M,
41783,KC20036247,6/3/2020,B,M,29.0
41784,KC20042269,6/26/2020,W,M,52.0
41785,KC20042894,6/29/2020,B,M,22.0
41786,KC20037935,6/9/2020,B,M,
41787,KC20040935,6/21/2020,B,F,28.0
41788,KC20046547,7/13/2020,W,M,61.0
41789,KC20034880,5/28/2020,W,M,
41790,KC20039699,6/16/2020,B,M,48.0
41791,KC20046825,7/14/2020,B,M,61.0
41792,KC20034001,5/25/2020,B,M,46.0
41793,KC20036281,6/3/2020,B,M,37.0
41794,KC20035219,5/29/2020,,,
41795,KC20045511,7/9/2020,B,F,27.0
41796,KC20034158,5/26/2020,B,F,47.0
41797,KC20038703,6/12/2020,,M,
41798,KC20045899,7/10/2020,,F,
41799,KC20044372,7/5/2020,W,M,51.0
41800,KC20036291,6/3/2020,B,M,23.0
41801,KC20044399,7/5/2020,B,F,18.0
41802,KC20035992,6/2/2020,B,F,25.0
41803,KC20044735,7/6/2020,,,
41804,KC20042680,6/28/2020,U,U,
41805,KC20036064,6/2/2020,B,F,27.0
41806,KC20038500,6/11/2020,B,F,20.0
41807,KC20044853,7/7/2020,W,F,32.0
41808,KC20033513,5/22/2020,B,M,21.0
41809,KC20037617,6/8/2020,B,F,32.0
41810,KC20039853,6/17/2020,W,M,46.0
41811,KC20044746,7/6/2020,U,U,
41812,KC20045330,7/8/2020,B,F,22.0
41813,KC20040552,6/19/2020,B,M,
41814,KC20036595,6/4/2020,,,
41815,KC20037525,6/8/2020,,,
41816,KC20033868,5/24/2020,B,M,36.0
41817,KC20045777,7/10/2020,B,M,69.0
41818,KC20039404,6/15/2020,B,F,50.0
41819,KC20033728,5/23/2020,B,F,45.0
41820,KC20035859,6/1/2020,B,M,27.0
41821,KC20045803,7/10/2020,B,F,23.0
41822,KC20041168,6/22/2020,B,M,36.0
41823,KC20035410,5/30/2020,,,
41824,KC20047565,7/17/2020,B,M,44.0
41825,KC20035992,6/2/2020,B,M,
41826,KC20036839,6/5/2020,B,F,45.0
41827,KC20038697,6/12/2020,B,M,23.0
41828,KC20040608,6/19/2020,W,F,40.0
41829,KC20040024,6/17/2020,B,F,24.0
41830,KC20038964,6/13/2020,W,M,31.0
41831,KC20035511,5/31/2020,B,F,47.0
41832,KC20041397,6/22/2020,B,M,28.0
41833,KC20035265,5/30/2020,,,
41834,KC20045355,7/8/2020,W,F,33.0
41835,KC20033617,5/23/2020,B,F,64.0
41836,KC20036474,6/3/2020,U,M,
41837,KC20040162,6/18/2020,,,
41838,KC20033664,5/23/2020,W,M,59.0
41839,KC20042884,6/29/2020,W,M,26.0
41840,KC20045063,7/7/2020,W,M,28.0
41841,KC20045743,7/10/2020,W,M,31.0
41842,KC20036258,6/3/2020,W,M,45.0
41843,KC20043265,6/30/2020,W,M,56.0
41844,KC20040095,6/17/2020,B,F,27.0
41845,KC20046591,7/13/2020,W,F,
41846,KC20040318,6/18/2020,U,F,32.0
41847,KC20044574,7/6/2020,B,M,31.0
41848,KC20038781,6/12/2020,W,M,69.0
41849,KC20042338,6/26/2020,B,M,21.0
41850,KC20034467,5/27/2020,B,M,33.0
41851,KC20045918,7/11/2020,B,F,36.0
41852,KC20045726,7/10/2020,W,M,57.0
41853,KC20035525,5/31/2020,B,M,19.0
41854,KC20037008,6/5/2020,W,M,
41855,KC20036903,6/5/2020,B,F,37.0
41856,KC20035411,5/30/2020,W,F,47.0
41857,KC20045495,7/9/2020,B,M,33.0
41858,KC20047590,7/17/2020,B,M,
41859,KC20046896,7/14/2020,B,M,73.0
41860,KC20038923,6/13/2020,B,M,
41861,KC20042154,6/25/2020,W,F,21.0
41862,KC20033154,5/21/2020,B,M,58.0
41863,KC20037807,6/9/2020,,,
41864,KC20038160,6/10/2020,W,M,25.0
41865,KC20041918,6/24/2020,B,M,
41866,KC20042960,6/29/2020,W,M,25.0
41867,KC20043884,7/2/2020,B,F,20.0
41868,KC20046752,7/14/2020,,,
41869,KC20046103,7/11/2020,U,F,29.0
41870,KC20046232,7/12/2020,W,M,41.0
41871,KC20039271,6/15/2020,W,M,62.0
41872,KC20046322,7/12/2020,W,F,60.0
41873,KC20044826,7/6/2020,B,M,
41874,KC20046342,7/12/2020,B,F,32.0
41875,KC20047691,7/18/2020,W,M,29.0
41876,KC20039613,6/16/2020,B,F,44.0
41877,KC20040976,6/21/2020,B,M,25.0
41878,KC20033896,5/24/2020,U,F,
41879,KC20047109,7/15/2020,W,F,36.0
41880,KC20046149,7/12/2020,B,F,20.0
41881,KC20036937,6/5/2020,W,F,40.0
41882,KC20036769,6/5/2020,B,M,23.0
41883,KC20038577,6/12/2020,B,M,36.0
41884,KC20042036,6/25/2020,B,F,53.0
41885,KC20039078,6/14/2020,W,F,56.0
41886,KC20037515,6/8/2020,W,M,40.0
41887,KC20045379,7/8/2020,W,M,53.0
41888,KC20046663,7/13/2020,B,M,
41889,KC20032836,5/20/2020,,,
41890,KC20034419,5/26/2020,B,M,
41891,KC20043298,6/30/2020,W,M,
41892,KC20034407,5/26/2020,W,M,31.0
41893,KC20032917,5/20/2020,B,M,30.0
41894,KC20038067,6/10/2020,W,F,65.0
41895,KC20043343,6/30/2020,W,M,23.0
41896,KC20036243,6/3/2020,B,F,
41897,KC20045433,7/9/2020,W,M,
41898,KC20034141,5/25/2020,B,F,37.0
41899,KC20035970,6/2/2020,U,F,25.0
41900,KC20042577,6/27/2020,B,M,29.0
41901,KC20044017,7/3/2020,B,M,26.0
41902,KC20045577,7/9/2020,B,F,57.0
41903,KC20037412,6/7/2020,,,
41904,KC20035353,5/30/2020,W,F,25.0
41905,KC20036525,6/4/2020,B,M,30.0
41906,KC20046035,7/11/2020,W,M,
41907,KC20040343,6/18/2020,,,
41908,KC20041204,6/22/2020,W,M,23.0
41909,KC20043539,7/1/2020,B,F,55.0
41910,KC20046885,7/14/2020,B,F,
41911,KC20034733,5/28/2020,U,F,27.0
41912,KC20039532,6/15/2020,B,M,19.0
41913,KC20044606,7/6/2020,,,
41914,KC20040031,6/17/2020,U,F,37.0
41915,KC20035416,5/31/2020,B,M,23.0
41916,KC20039141,6/14/2020,B,M,26.0
41917,KC20044059,7/3/2020,B,F,30.0
41918,KC20033006,5/21/2020,W,M,22.0
41919,KC20036871,6/5/2020,W,M,45.0
41920,KC20041450,6/23/2020,W,M,
41921,KC20040881,6/20/2020,B,F,25.0
41922,KC20037599,6/8/2020,B,M,46.0
41923,KC20035897,6/2/2020,B,M,
41924,KC20041406,6/22/2020,W,M,
41925,KC20040781,6/20/2020,,,
41926,KC20047170,7/15/2020,B,M,
41927,KC20040431,6/19/2020,W,F,
41928,KC20045471,7/9/2020,B,M,46.0
41929,KC20040402,6/18/2020,B,F,33.0
41930,KC20037025,6/5/2020,B,M,22.0
41931,KC20045483,7/9/2020,B,F,38.0
41932,KC20044305,7/4/2020,W,F,19.0
41933,KC20036939,6/5/2020,B,M,27.0
41934,KC20038661,6/12/2020,W,F,32.0
41935,KC20033838,5/24/2020,B,M,
41936,KC20037259,6/6/2020,W,F,22.0
41937,KC20042537,6/27/2020,W,F,55.0
41938,KC20045147,7/8/2020,B,F,28.0
41939,KC20040998,6/21/2020,B,M,28.0
41940,KC20045685,7/10/2020,B,F,40.0
41941,KC20033527,5/23/2020,B,M,
41942,KC20032791,5/20/2020,W,F,42.0
41943,KC20044311,7/5/2020,B,F,19.0
41944,KC20038976,6/13/2020,,,
41945,KC20035712,6/1/2020,,,
41946,KC20040995,6/21/2020,,M,29.0
41947,KC20046447,7/13/2020,W,F,
41948,KC20035564,5/31/2020,U,U,27.0
41949,KC20037416,6/7/2020,B,F,
41950,KC20045941,7/11/2020,B,F,43.0
41951,KC20038478,6/11/2020,W,M,57.0
41952,KC20039215,6/14/2020,B,M,54.0
41953,KC20033213,5/21/2020,B,F,56.0
41954,KC20037382,6/7/2020,B,F,
41955,KC20033388,5/22/2020,W,M,21.0
41956,KC20039757,6/16/2020,W,F,25.0
41957,KC20039139,6/14/2020,B,M,35.0
41958,KC20047880,7/18/2020,,,
41959,KC20034983,5/29/2020,W,M,36.0
41960,KC20036699,6/4/2020,W,M,37.0
41961,KC20043426,7/1/2020,W,F,65.0
41962,KC20038247,6/10/2020,B,M,52.0
41963,KC20045222,7/8/2020,U,M,45.0
41964,KC20043131,6/30/2020,W,M,38.0
41965,KC20046117,7/11/2020,B,F,47.0
41966,KC20045396,7/9/2020,B,M,34.0
41967,KC20035428,5/31/2020,B,F,
41968,KC20037769,6/8/2020,W,F,60.0
41969,KC20046587,7/13/2020,W,M,43.0
41970,KC20038711,6/12/2020,B,M,51.0
41971,KC20042749,6/28/2020,B,M,
41972,KC20045648,7/9/2020,B,M,24.0
41973,KC20036960,6/5/2020,B,F,35.0
41974,KC20041293,6/22/2020,B,F,65.0
41975,KC20038363,6/11/2020,,M,
41976,KC20047703,7/18/2020,W,F,42.0
41977,KC20046710,7/14/2020,W,F,29.0
41978,KC20035235,5/30/2020,B,F,25.0
41979,KC20047527,7/17/2020,W,M,23.0
41980,KC20046026,7/11/2020,W,M,29.0
41981,KC20046006,7/11/2020,B,F,62.0
41982,KC20040772,6/20/2020,W,M,19.0
41983,KC20033745,5/23/2020,B,F,46.0
41984,KC20044467,7/5/2020,B,F,44.0
41985,KC20039350,6/15/2020,,,
41986,KC20035375,5/30/2020,W,M,61.0
41987,KC20036653,6/4/2020,W,F,25.0
41988,KC20043801,7/2/2020,W,M,19.0
41989,KC20039480,6/15/2020,W,M,26.0
41990,KC20042649,6/27/2020,W,F,65.0
41991,KC20041703,6/24/2020,W,M,31.0
41992,KC20036151,6/2/2020,U,M,38.0
41993,KC20034205,5/20/2020,W,M,30.0
41994,KC20045589,7/9/2020,W,M,54.0
41995,KC20041635,6/23/2020,B,M,41.0
41996,KC20042971,6/29/2020,,,
41997,KC20032898,5/20/2020,B,M,
41998,KC20033969,5/25/2020,B,M,25.0
41999,KC20033201,5/21/2020,W,M,32.0
42000,KC20045346,7/8/2020,W,M,33.0
42001,KC20044221,7/4/2020,B,F,39.0
42002,KC20036393,6/3/2020,W,M,35.0
42003,KC20041972,6/25/2020,B,F,22.0
42004,KC20047087,7/15/2020,B,M,36.0
42005,KC20037669,6/8/2020,W,M,
42006,KC20043927,7/3/2020,W,M,
42007,KC20045488,7/9/2020,U,F,62.0
42008,KC20037495,6/8/2020,W,F,27.0
42009,KC20041738,6/24/2020,W,M,41.0
42010,KC20035801,6/1/2020,W,M,50.0
42011,KC20045125,7/7/2020,B,F,47.0
42012,KC20038296,6/11/2020,W,M,40.0
42013,KC20033282,5/22/2020,W,F,23.0
42014,KC20038304,6/11/2020,B,F,46.0
42015,KC20038006,6/9/2020,B,M,26.0
42016,KC20035821,6/1/2020,,,
42017,KC20047575,7/17/2020,W,F,32.0
42018,KC20046937,7/15/2020,W,M,54.0
42019,KC20041624,6/23/2020,B,F,21.0
42020,KC20041044,6/21/2020,B,M,20.0
42021,KC20035258,5/30/2020,,,
42022,KC20038889,6/13/2020,W,M,42.0
42023,KC20042875,6/29/2020,B,M,
42024,KC20041688,6/24/2020,B,F,52.0
42025,KC20040210,6/18/2020,W,M,25.0
42026,KC20040801,6/20/2020,W,F,47.0
42027,KC20047828,7/18/2020,W,M,22.0
42028,KC20045074,7/7/2020,B,F,62.0
42029,KC20044258,7/4/2020,B,M,42.0
42030,KC20037351,6/7/2020,W,F,20.0
42031,KC20047642,7/17/2020,W,M,33.0
42032,KC20044970,7/7/2020,W,M,53.0
42033,KC20041573,6/23/2020,B,F,32.0
42034,KC20036357,6/3/2020,B,F,53.0
42035,KC20047430,7/17/2020,W,M,
42036,KC20035687,6/1/2020,W,M,41.0
42037,KC20040145,6/18/2020,W,M,19.0
42038,KC20039503,6/15/2020,B,M,33.0
42039,KC20045914,7/11/2020,B,M,29.0
42040,KC20037942,6/9/2020,,,
42041,KC20033516,5/23/2020,B,F,
42042,KC20033308,5/22/2020,B,F,68.0
42043,KC20039700,6/16/2020,,,
42044,KC20037461,6/7/2020,W,M,21.0
42045,KC20039525,6/15/2020,W,M,37.0
42046,KC20042127,6/25/2020,W,F,47.0
42047,KC20034852,5/28/2020,W,M,22.0
42048,KC20040799,6/20/2020,B,M,45.0
42049,KC20046720,7/14/2020,,,
42050,KC20044490,7/5/2020,B,M,
42051,KC20043738,7/2/2020,B,F,40.0
42052,KC20047671,7/17/2020,B,M,52.0
42053,KC20033659,5/23/2020,B,M,18.0
42054,KC20045080,7/7/2020,B,M,23.0
42055,KC20047297,7/16/2020,U,M,
42056,KC20033144,5/21/2020,W,F,45.0
42057,KC20039758,6/16/2020,W,M,30.0
42058,KC20041247,6/22/2020,,,
42059,KC20043857,7/2/2020,W,F,40.0
42060,KC20036391,6/3/2020,W,F,44.0
42061,KC20036277,6/3/2020,W,M,23.0
42062,KC20047775,7/18/2020,B,F,28.0
42063,KC20033947,5/24/2020,B,M,61.0
42064,KC20043993,7/3/2020,B,M,48.0
42065,KC20046398,7/13/2020,,,
42066,KC20045900,7/10/2020,B,M,
42067,KC20035589,5/31/2020,W,M,27.0
42068,KC20034723,5/28/2020,W,M,46.0
42069,KC20035353,5/30/2020,B,F,34.0
42070,KC20041986,6/25/2020,W,F,76.0
42071,KC20034877,5/28/2020,W,M,23.0
42072,KC20044589,7/6/2020,B,F,
42073,KC20037230,6/6/2020,B,F,25.0
42074,KC20036677,6/4/2020,,M,36.0
42075,KC20036498,6/3/2020,B,F,24.0
42076,KC20044336,7/5/2020,B,M,35.0
42077,KC20044092,7/3/2020,W,M,70.0
42078,KC20034518,5/27/2020,B,M,36.0
42079,KC20037074,6/6/2020,B,F,
42080,KC20041888,6/24/2020,B,F,27.0
42081,KC20046295,7/12/2020,W,M,36.0
42082,KC20047626,7/17/2020,,,
42083,KC20047114,7/15/2020,B,M,39.0
42084,KC20037132,6/6/2020,B,F,45.0
42085,KC20037493,6/8/2020,B,M,51.0
42086,KC20040065,6/17/2020,U,U,21.0
42087,KC20047269,7/16/2020,,,
42088,KC20036827,6/5/2020,W,M,34.0
42089,KC20041844,6/24/2020,B,M,
42090,KC20037083,6/6/2020,B,F,27.0
42091,KC20039118,6/14/2020,W,M,53.0
42092,KC20033266,5/22/2020,B,M,18.0
42093,KC20047927,7/19/2020,B,M,22.0
42094,KC20040959,6/21/2020,W,M,53.0
42095,KC20047310,7/16/2020,U,M,33.0
42096,KC20042413,6/26/2020,W,M,30.0
42097,KC20042010,6/25/2020,B,M,36.0
42098,KC20033942,5/24/2020,W,M,
42099,KC20034495,5/27/2020,B,M,44.0
42100,KC20043203,6/30/2020,W,M,36.0
42101,KC20034620,5/27/2020,W,M,57.0
42102,KC20042769,6/28/2020,W,F,37.0
42103,KC20047389,7/16/2020,W,M,30.0
42104,KC20042422,6/26/2020,W,M,28.0
42105,KC20034656,5/27/2020,W,M,
42106,KC20033194,5/21/2020,W,F,39.0
42107,KC20034313,5/26/2020,B,M,39.0
42108,KC20045028,7/7/2020,,,
42109,KC20041170,6/22/2020,B,F,30.0
42110,KC20047254,7/16/2020,W,M,59.0
42111,KC20040849,6/20/2020,W,M,32.0
42112,KC20042146,6/25/2020,W,M,
42113,KC20036374,6/3/2020,W,M,43.0
42114,KC20033263,5/22/2020,B,M,44.0
42115,KC20036173,6/2/2020,W,F,39.0
42116,KC20047439,7/17/2020,B,F,28.0
42117,KC20047896,7/19/2020,W,M,19.0
42118,KC20046599,7/13/2020,W,F,48.0
42119,KC20039874,6/17/2020,B,F,38.0
42120,KC20039347,6/15/2020,B,F,
42121,KC20046417,7/13/2020,U,M,
42122,KC20044141,7/4/2020,B,F,19.0
42123,KC20044881,7/7/2020,B,M,30.0
42124,KC20047154,7/15/2020,,,
42125,KC20034084,5/25/2020,B,M,31.0
42126,KC20036473,6/3/2020,B,F,35.0
42127,KC20045744,7/10/2020,B,M,31.0
42128,KC20037325,6/7/2020,W,F,28.0
42129,KC20045105,7/7/2020,W,M,25.0
42130,KC20033257,5/21/2020,B,F,
42131,KC20047389,7/16/2020,W,F,64.0
42132,KC20037295,6/7/2020,B,F,56.0
42133,KC20036672,6/4/2020,W,M,36.0
42134,KC20039559,6/15/2020,W,M,
42135,KC20039645,6/16/2020,W,F,82.0
42136,KC20034164,5/26/2020,W,F,45.0
42137,KC20043914,7/3/2020,W,M,31.0
42138,KC20037799,6/9/2020,W,F,61.0
42139,KC20042231,6/26/2020,W,M,52.0
42140,KC20033157,5/21/2020,B,F,53.0
42141,KC20039774,6/16/2020,W,M,45.0
42142,KC20037047,6/6/2020,W,M,20.0
42143,KC20044480,7/5/2020,B,M,33.0
